bf109e7_greece, BF109E7 Trop
bf109e7_trop, BF109E7 Trop
bf109e7_greecealt, BF109E7 Trop
bf109e7_tropalt, BF109E7 Trop
bf109f4, BF109F4
bf109f4_alt250kg, BF109 F4
bf109f4_alt50kg, BF109 F4
bf109f4_trop, BF109F4
bf109f4_trop_alt250kg, BF109 F4
bf109f4_trop_alt50kg, BF109 F4
fw190, FW 190
fw190_alt, FW 190
ju52, Junkers 52
JU52Rider_Left, Junkers 52
JU52Rider_Right, Junkers 52
ju87b2, Ju87B2 'Stuka'
ju87b2alt, Ju87B2 'Stuka'
ju87b2_greece, Ju87B2 'Stuka'
ju87b2_libya, Ju87B2 'Stuka'
ju87d1_trop, ju87d1_trop 'Stuka'
rz20chute, RZ20 Parachute
storch_france, Fieseler Storch
storch_trop, Fieseler Storch
beaufightermk1, Beaufighter Mk.I
beaufightermk1_b, Beaufighter Mk.I
hardy, Hardy
horsa_glider, Horsa Glider
horsa_glider_flyover, KILLMESSAGE_VEHICLE_c47
hurricanemki, Hurricane Mk.I
hurricanemki_b, Hurricane Mk.I
hurricanemkiic, Hurricane Mk.IIC
hurricanemkiic_alt_b, Hurricane Mk.IIC
hurricanemkiic_b, Hurricane Mk.IIC
hurricanemkiid, Hurricane Mk.IID
pipercub_gb, Piper J-3 Cub
spitfiremkv, Spitfire MK.V
spitfiremkvb, Spitfire MK.Vb
spitfiremkvb_usaaf, Spitfire MK.Vb
Spitfire_IX, Spitfire MkIX
swordfish, Fairey Swordfish Reargun
swordfish_b, Fairey Swordfish
typhoon_mk1b_late, Typhoon
typhoon_mk1b_late_flyover, Typhoon
x9chute, X9 Parachute
mc200, Mc.200
mc200_alt, BF109E7 Trop
mc202, Mc.202
mc202_objective, MC202
AIX_P51D, P-51D 'Mustang'
AIX_P51D_Bombs, P-51D 'Mustang'
AIX_P51D_Rockets, P-51D 'Mustang'
c47, C-47 'Sky Train'
c47_spawn_flyover, C-47 'Sky Train'
p-40e, P-40E 'Warhawk'
p-40e_120lb, P-40E 'Warhawk'
p-40e_250lb, P-40E 'Warhawk'
p-40e_500lb, P-40E 'Warhawk'
