INIT LevelName=fht_c19_tarawa;fhtd.roundStartTime=15783;StartDate=2017.01.13,22:08;Filename=mods/fh2/fht/fht_c19_tarawa_170113_2208_faLog.txt
INIT LevelName=fht_c19_tarawa;fhtd.roundStartTime=15783;StartDate=2017.01.13,22:08;Filename=mods/fh2/fht/fht_c19_tarawa_170113_2208_faLog.txt
ENTER PlayerName=5|USMC Tutvys;PlayerTeam=2;VehicleName=lcvp;Time=120
ENTER PlayerName=H|USMC florianmehne;PlayerTeam=2;VehicleName=lcvp;Time=120
ENTER PlayerName= 5[1USMC]truth_HUN;PlayerTeam=2;VehicleName=lcvp;Time=120
ENTER PlayerName=7USMC michaelau999;PlayerTeam=2;VehicleName=lvt-4;Time=120
ENTER PlayerName=5|USMC AL-SAHAD;PlayerTeam=2;VehicleName=lvt-4;Time=120
ENTER PlayerName=7[1st] buddydog123;PlayerTeam=2;VehicleName=lvt-4;Time=120
ENTER PlayerName=5|USMC RedYuri;PlayerTeam=2;VehicleName=lvt-4;Time=120
ENTER PlayerName=[F|H] I<ODIUM>I;PlayerTeam=2;VehicleName=lvt-4;Time=120
ENTER PlayerName=7[1MD] GeoPat;PlayerTeam=2;VehicleName=lcvp;Time=120
ENTER PlayerName=T|USMC atElmo;PlayerTeam=2;VehicleName=us05insinglemk30_arty_1;Time=120
EXIT PlayerName= 5[1USMC]truth_HUN;PlayerTeam=2;VehicleName=lcvp;VehicleTime=2.3;Time=123
ENTER PlayerName= 5[1USMC]truth_HUN;PlayerTeam=2;VehicleName=lcvp;Time=123
EXIT PlayerName=7[1st] buddydog123;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=2.4;Time=123
ENTER PlayerName=7[1st] buddydog123;PlayerTeam=2;VehicleName=lvt-4;Time=123
EXIT PlayerName=[F|H] I<ODIUM>I;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=2.6;Time=123
ENTER PlayerName=[F|H] I<ODIUM>I;PlayerTeam=2;VehicleName=lvt-4;Time=123
EXIT PlayerName= 5[1USMC]truth_HUN;PlayerTeam=2;VehicleName=lcvp;VehicleTime=0.4;Time=123
ENTER PlayerName= 5[1USMC]truth_HUN;PlayerTeam=2;VehicleName=lcvp;Time=123
ENTER PlayerName=1|USMC Hawk2k9;PlayerTeam=2;VehicleName=lcvp;Time=123
ENTER PlayerName= [F|H]Papillon;PlayerTeam=2;VehicleName=dauntlesssbdtorch;Time=125
ENTER PlayerName=1|USMC Seng711;PlayerTeam=2;VehicleName=lcvp;Time=128
ENTER PlayerName=2IG|18 DTBG;PlayerTeam=1;VehicleName=75mmdp;Time=128
ENTER PlayerName=2IG|24 Mid4eL;PlayerTeam=1;VehicleName=type97_chiha;Time=131
ENTER PlayerName=2IG|15 papa@FH2;PlayerTeam=1;VehicleName=8inch_defgun;Time=132
EXIT PlayerName=1|USMC Seng711;PlayerTeam=2;VehicleName=lcvp;VehicleTime=4.5;Time=132
EXIT PlayerName= 5[1USMC]truth_HUN;PlayerTeam=2;VehicleName=lcvp;VehicleTime=12.2;Time=135
ENTER PlayerName= 5[1USMC]truth_HUN;PlayerTeam=2;VehicleName=lcvp;Time=135
ENTER PlayerName=1|USMC Seng711;PlayerTeam=2;VehicleName=lcvp;Time=136
ENTER PlayerName=2IG|15 Ephiriel;PlayerTeam=1;VehicleName=75mmdp;Time=137
EXIT PlayerName=7[1st] buddydog123;PlayerTeam=2;VehicleName=lvt-4;VehicleTime=14.3;Time=137
ENTER PlayerName=7[1st] buddydog123;PlayerTeam=2;VehicleName=lvt-4;Time=137
ENTER PlayerName=2IG|15 Xant;PlayerTeam=1;VehicleName=fh1_25mmaa;Time=137
ENTER PlayerName=24[2IG [24th][2IG]~Goda;PlayerTeam=1;VehicleName=type97_chiha;Time=141
ENTER PlayerName=2IGI24 Lebowski(rus);PlayerTeam=1;VehicleName=aichi_val;Time=142
ENTER PlayerName=[F|H] SturmFlim13;PlayerTeam=1;VehicleName=75mmdp;Time=143
ENTER PlayerName=5|USMC pr0z4c;PlayerTeam=2;VehicleName=dauntlesssbdtorch;Time=145
ENTER PlayerName=1|USMC sch@mpus;PlayerTeam=2;VehicleName=lvt-4;Time=146
ENTER PlayerName=2IG|15 knokworst;PlayerTeam=1;VehicleName=8inch_defgun;Time=147
EXIT PlayerName=2IG|18 DTBG;PlayerTeam=1;VehicleName=75mmdp;VehicleTime=20.1;Time=148
ENTER PlayerName=2IG|24 Vlasov;PlayerTeam=1;VehicleName=kurogane;Time=148
ENTER PlayerName=2IG|18 Ensign_Steel;PlayerTeam=1;VehicleName=75mmdp;Time=148
ENTER PlayerName=5|USMC GENERAL_HUN;PlayerTeam=2;VehicleName=lcvp;Time=150
ENTER PlayerName=2IG|15 BamBam_55;PlayerTeam=1;VehicleName=a6m_zero;Time=153
ENTER PlayerName=2IG|18 DTBG;PlayerTeam=1;VehicleName=75mmdp;Time=154
ENTER PlayerName=1IUSMC Haraldt;PlayerTeam=2;VehicleName=lcvp;Time=156
ENTER PlayerName=2IG15 [F|H]Gunghoo;PlayerTeam=1;VehicleName=8inch_defgun;Time=156
ENTER PlayerName=2IG|15 The_Spine;PlayerTeam=1;VehicleName=fh1_25mmaa;Time=158
ENTER PlayerName=2IGI18 Taran121;PlayerTeam=1;VehicleName=fh1_25mmaa;Time=158
ENTER PlayerName=1|USMC jay919;PlayerTeam=2;VehicleName=lcvp;Time=159
SCORE ScoreDiff=-1;PlayerName=5|USMC GENERAL_HUN;PlayerTeam=2;PlayerKit=UP_LMG_Limited;PlayerVehicle=lcvp;PlayerPos=-68.290,64.984,169.293;Time=160;Scoretype=suicides
KILL;AttackerName=5|USMC GENERAL_HUN;AttackerTeam=2;AttackerPos=-68.290,64.984,169.293;VictimName=5|USMC GENERAL_HUN;VictimTeam=2;VictimPos=-68.290,64.984,169.293;VictimKit=UP_LMG_Limited;VictimVehicle=lcvp;AttackerKit=UP_LMG_Limited;AttackerVehicle=lcvp;Time=160
EXIT PlayerName=5|USMC GENERAL_HUN;PlayerTeam=2;VehicleName=lcvp;VehicleTime=10.0;Time=160
